REFERENCE                                                              | COUNT
Callebaut, W. (n.d.). “Campbell, Donald Thomas.” Encyclopedia.com. https://www.encyclopedia.com/science/dictionaries-thesauruses-pictures-and-press-releases/campbell-donald-thomas | 2
Beardsley, M. (1958). Aesthetics: Problems in the philosophy of criticism. Harcourt, Brace. | 2
Dickie, G. (2005). “Beardsley, Monroe”. Encyclopedia of Philosophy. https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/beardsley-monroe-1915-1985 | 2
Weitz, M. (1956). “The role of theory in aesthetics”. Journal of Aesthetics and Art Criticism, 15(1), 27-35. | 2
Murray, M. J. (2001). Review of “Peter Geach (1998) Truth and Hope”. University of Notre Dame Press. | 2
Davidson, D. (1999). “Anomalous monism”. R. A. Wilson & F. C. Keil (Eds.), MIT encyclopedia of the cognitive sciences. Cambridge, MA: MIT Press. | 2
Smart, J. J. C. (1959). “Sensations and Brain Processes”, Philosophical Review, 68:141–156. | 2
Smart, J. J. C. (1961). “Free will, praise and blame”. Mind 70 (279):291-306. | 2
Smart, J. J. C. (1956). “Extreme and Restricted Utilitarianism”. The Philosophical Quarterly, 6(25), 344-354. | 2
Rawls, J. (2001). Justice as Fairness. Harvard University Press. | 2
Lakatos, I. (1970). “Falsification and the methodology of scientific research programmes”. Lakatos, I., & Musgrave, A. (Eds.). Criticism and the growth of knowledge (pp. 91-196). Cambridge: Cambridge University Press. | 2
Dickie, G. (1974). Art and the Aesthetic: An Institutional Analysis. Cornell University Press. | 2
Levin, J. (n.d.). “Functionalism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/functionalism/ | 2
Gould, S. J., & Lewontin, R. C. (1979). “The spandrels of San Marco and the Panglossian paradigm: A critique of the adaptationist programme”. Proceedings of the Royal Society B: Biological Sciences, 205(1161), 581–598. | 2
Chappell, S., & Smyth, N. (n.d.). “Bernard Williams”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/williams-bernard/ | 2
Williams, B. (1973). “The Makropulos Case: Reflections on the Tedium of Immortality”. In Problems of the Self, Cambridge: Cambridge University Press. | 2
McGrath, S. (2005) “Thomson, Judith Jarvis”. Encyclopedia of Philosophy. https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/thomson-judith-jarvis-1929 | 2
Thomson, J. (1998). “The statue and the clay”. Noûs, 32(2), 149-173. | 2
Plantinga, A. (1994). “Naturalism defeated”. Unpublished manuscript. | 2
Searle, J. (2007). Freedom & Neurobiology. Columbia University Press. | 2
Rorty, R. (1991). “Feminism and Pragmatism”, Radical Philosophy 059, Autumn 1991. | 2
Nagel, T. (1979). Mortal questions. Cambridge University Press. | 2
Nagel, T. (1971). “The Absurd”. Journal of Philosophy 68 (20):716-727. | 2
Okasha, S. (2019). Philosophy of biology (A very short introduction). Oxford University Press. | 2
Nagel, J. (2014). Knowledge: A very short introduction. Oxford University Press. | 2
Kornblith, H. (2005) “Goldman, Alvin”. Encyclopedia of Philosophy. https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/goldman-alvin-1938 | 2
Nozick, R. (1974). Anarchy, State, and Utopia. Basic Books. | 2
Jackson, F. (1982). “Epiphenomenal qualia”. Philosophical Quarterly 32 (April):127-136. | 2
Boyd, R. (1989). “What Realism Implies and What it Does Not”. Dialectica 43 (1‐2):5-29. | 2
McDowell, J. (1994). Mind and World. Cambridge: Harvard University Press. | 2
Scanlon, T. (1996). The Diversity of Objections to Inequality. The Lindley Lecture. | 2
Parfit, D. (2011). On What Matters. Oxford: Oxford University Press. | 2
Dawkins, R. (1982). The Extended Phenotype. Oxford University Press. | 2
Dennett, D. (1995). Darwin’s Dangerous Idea: Evolution and the meanings of life. Simon & Schuster. | 2
Churchland, P. M. (1982). “The Anti‐Realist Epistemology of Van Fraassen's The Scientific Image”. Pacific Philosophical Quarterly 63 (3):226-235. | 2
Block, N. (2023). The Border Between Seeing and Thinking. New York, US: OUP. | 2
Psillos, S. (2009). “Cartwright’s Realist Toil: From Entities to Capacities”. Knowing the Structure of Nature. Palgrave Macmillan. | 2
Haack, S. (1999). Manifesto of a Passionate Moderate: Unfashionable Essays. University Of Chicago Press. | 2
Maturana, H. & Varela, F. (1980/1972). Autopoiesis and Cognition: The Realization of the Living. Dordrecht: D. Reidel. | 2
Thompson, E. & Varela, F. (2001). “Radical embodiment: Neural dynamics and consciousness”. Trends in Cognitive Sciences 5(10), 418–425. | 2
Singer, P. (2009). The Life You Can Save. Random House. | 2
Singer, P. (1975). Animal liberation. HarperCollins. | 2
Nussbaum, M. (2023). Justice for Animals: Our Collective Responsibility. ‎Simon & Schuster. | 2
Strawson, G. (1997). “‘the Self’”. Journal of Consciousness Studies 4 (5-6):405-428. | 2
Clark, A. (2008). Supersizing the mind: Embodiment, action, and cognitive extension. Oxford: Oxford University Press. | 2
Weisberg, J. (n.d.). “The Hard Problem of Consciousness”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/hard-con/ | 2
Chalmers, D. (1996). The Conscious Mind. Oxford University Press. | 2
Chalmers, D. (2017). “The Virtual and the Real”. Disputatio 9 (46):309-352. | 2
Ladyman, J. (2018). “Scientific Realism Again”. Spontaneous Generations 9 (1):99-107. | 2
Graham, D. W. (n.d.). “Anaximenes”. The Internet Encyclopedia of Philosophy. https://www.iep.utm.edu/anaximen/ | 1
Huffman, C. (n.d.). “Pythagoras”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/pythagoras/ | 1
Plato. Theaetetus. | 1
Plato. Euthyphro. | 1
Britannica, T. Editors of Encyclopaedia (2011, November 22). “Mimesis”. Encyclopedia Britannica. https://www.britannica.com/art/mimesis | 1
Aristotle. De Anima. | 1
Haddock, A., Dupré, J. (2005). “Natural Kinds”. Encyclopedia of Philosophy. https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/natural-kinds | 1
Lorenz, H. (n.d.). “Ancient Theories of Soul”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/ancient-soul/ | 1
Encyclopaedia Britannica. (n.d.). “Aristotle: The unmoved mover”. https://www.britannica.com/biography/Aristotle/The-unmoved-mover | 1
Aristotle. Posterior Analytics. | 1
Aristotle. Nicomachean Ethics. | 1
Athanassoulis, N. (n.d.). “Virtue Ethics”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/virtue/ | 1
Shields, C. (n.d.). “Aristotle”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/aristotle/ | 1
Konstan, D. (n.d.). “Epicurus”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/epicurus/ | 1
Epicurus. Leading Doctrines, in The Art of Happiness. Trans. George K. Strodach. Penguin Books. 2012. | 1
Cicero. (45 BCE). Tusculan Disputations. | 1
Plotinus, Ennead 5.8.1‐8, A.H. Armstrong translation. | 1
Augustine. (392). Acta Seu Disputatio Contra Fortunatum Manichaeum.; Augustine. (426). The City of God. | 1
Augustine. (392). Acta Seu Disputatio Contra Fortunatum Manichaeum. | 1
Augustine. (411–2). Punishment and Forgiveness of Sins. | 1
Stefon, M. (n.d.). “The Five Ways”. Encyclopedia Britannica. https://www.britannica.com/topic/the-Five-Ways | 1
Thomas Aquinas. (1256–1259). De Veritate. | 1
David, M. (n.d.). “The Correspondence Theory of Truth”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/truth-correspondence/ | 1
Thomas Aquinas. Commentary on Aristotle’s de Anima. #375 | 1
Lagerlund, H. (n.d.). “Mental Representation in Medieval Philosophy”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/representation-medieval/ | 1
Austin, M. W. (n.d.). “Divine command theory”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/divine-c/ | 1
Michalos, A. C., & Weijers, D. (2017). “Western Historical Traditions of Wellbeing”. The Pursuit of Human Well-Being. Springer. | 1
Brown, C. M. (n.d.). “Thomas Aquinas”. The Internet Encyclopedia of Philosophy. https://www.iep.utm.edu/aquinas/ | 1
William of Ockham. (c. 1334–46). Dialogus. J. Kilcullen and J. Scott, et al. ed. & trans. British Academy. http://publications.thebritishacademy.ac.uk/pubs/dialogus/ockdial.html | 1
Hobbes, T. (1655). De Corpore. | 1
Hobbes, T. (1656). Of Liberty and Necessity. | 1
Hatfield, G. (n.d.). “René Descartes”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/sense-data/ | 1
Descartes, R. (1629–1633). The World. | 1
Jordan, J. (n.d.). “Pragmatic Arguments and Belief in God”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/pragmatic-belief-god/ | 1
Spinoza, B. (1670). Tractatus Theologico-Politicus. | 1
Leibniz, G. W. (1716). “Fifth Letter to Clarke,” in Correspondence [between Leibniz and Clarke], ed. by R. Ariew, Indianapolis: Hackett, 2000; Jorati, J. (2017). Gottfried Leibniz [on Free Will]. In Kevin Timpe, Meghan Griffith & Neil Levy (eds.), The Routledge Companion to Free Will. New York, USA: Routledge. | 1
Forrest, P. (n.d.). “The Identity of Indiscernibles”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/identity-indiscernible/ | 1
Leibniz, G. W. (1765). New Essays on Human Understanding. | 1
Berkeley, G. (1710). A Treatise Concerning the Principles of Human Knowledge.; Magee, B. (1998). The Story of Philosophy. DK Pub. | 1
Berkeley, G. (1709). An Essay Towards a New Theory of Vision.; Berkeley, G. (1733). The Theory of Vision Vindicated and Explained. | 1
Berkeley, G. (1712). Passive Obedience, or the Christian Doctrine of Not Resisting the Supreme Power, Proved and Vindicated upon the Principles of the Law of Nature. Reprinted in D.H. Monro (ed.), A Guide to the British Moralists, London: Fontana, 1972, pp. 217–27. | 1
Vandenberg, P., DeHart, A. (n.d.). “Francis Hutcheson”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/hutcheso/ | 1
Hume, D. (1739). A Treatise of Human Nature.; Hume, D. (1748). An Enquiry Concerning Human Understanding. | 1
Russell, P., Kraal, A. (n.d.). “Hume on religion”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/hume-religion/ | 1
Hume, D. (1757). The Natural History of Religion, H.E. Root (ed.), Stanford, CA: Stanford University Press. 1957. | 1
Cohon, R. (n.d.). “Hume’s Moral Philosophy”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/hume-moral/ | 1
Hume, D. (1757). “Of the Standard of Taste”. | 1
Nichols, R. & Yaffe, G. (n.d.). “Thomas Reid”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/reid/; Reid, T. (1788). Essays on the Active Powers of Man. | 1
Reid, T. (1736–1796). The Correspondence of Thomas Reid, Paul Wood (ed.), University Park: Pennsylvania State University Press. 2002. | 1
Magee, B. (1998). The Story of Philosophy. DK Pub.; Rousseau, J.-J. (1754). Discourse on the Origin of Inequality. Translated by G. D. H. Cole. London and Toronto: J.M. Dent and Sons. 1923. | 1
Burke, E. (1790). Reflections on the Revolution in France. | 1
Kant, I. (1783). Prolegomena to Any Future Metaphysics. Cambridge University Press. 1997. | 1
Himma, K. E. (n.d.). “Anselm: Ontological Argument for God’sExistence”. The Internet Encyclopedia of Philosophy. https://www.iep.utm.edu/ont-arg/ | 1
Kant, I. (1788). Critique of Practical Reason. | 1
Magee, B. (1998). The Story of Philosophy. DK Pub.; Kant, I. (1785). Groundwork of the Metaphysics of Morals. | 1
Kant, I. (1797). The Metaphysics of Morals. | 1
Kant, I. (1760s). Lectures on Ethics. | 1
Paley, W. (1802). Natural Theology. | 1
Paley, W. (1785). Principles of Moral and Political Philosophy. | 1
Bentham, J. (1843). “The Commonplace Book”. J. Bowring (Ed.), Works. | 1
Bentham, J. (1843). Critique of the Doctrine of Inalienable, Natural Rights. | 1
Bentham, J. (1782). Of Laws in General, H.L.A. Hart (ed.), London: Athlone Press. 1970. | 1
Fichte, J.G. (1797). “Introduction to the Science of Knowledge”, trans. Adolph Ernst Kroeger. Journal of Speculative Philosophy, volume 1 (1867). | 1
Redding, P. (n.d.). “Georg Wilhelm Friedrich Hegel”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/hegel/; Hegel, G. W. F. (1807). The Phenomenology of Spirit, trans. Miller, A. V. Oxford: Clarendon Press. 1977. | 1
Magee, B. (1998). The Story of Philosophy. DK Pub.; Duquette, D. A. (n.d.). “Hegel: Social and Political Thought”. The Internet Encyclopedia of Philosophy. https://www.iep.utm.edu/hegelsoc/ | 1
Leopold, D. (n.d.). “Alienation”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/alienation/ | 1
Wood, A. W. (2015). “Hegel’s political philosophy”. S. Houlgate & M. Baur (Eds.), A companion to Hegel. John Wiley & Sons. | 1
Hegel, G. W. F. (1835). Aesthetics: Lectures on Fine Art. | 1
Hegel, G. W. F. (1835). Aesthetics: Lectures on Fine Art.; Redding, P. (n.d.). “Georg Wilhelm Friedrich Hegel”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/hegel/ | 1
Hegel, G. W. F. (1833). Lectures on the History of Philosophy. | 1
Schopenhauer, A. (1851). “On the Sufferings of the World”. Parerga und Paralipomena. | 1
Schopenhauer, A. (1818). The World as Will and Representation. | 1
Mill, J. S. (1861). Utilitarianism. John W. Parker & Son. | 1
Mill, J.S. (1874). “Theism” in Three Essays on Religion, New York: Henry Holt & Co. | 1
Mill, J. S. (1869). “The Subjection of Women”. | 1
Broadbent, A. (n.d.). “Causation”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/causation/ | 1
Darwin, C. (ca. 1872). Autobiographies. | 1
Kierkegaard, S. (1846). Concluding Unscientific Postscript to Philosophical Fragments. | 1
Kierkegaard, S. (1844). The Concept of Dread (/Anxiety). | 1
Kierkegaard, S. (1844). Philosophical Fragments. | 1
Magee, B. (1998). The Story of Philosophy. DK Pub.; Marx, K. & Engels, F. (1844) The Holy Family. Foreign Languages Publishing House, Moscow. 1956. | 1
Marx, K. & Engels, F. (1845–46) The German Ideology. In Marx-Engels, Collected Works, Vol. 5, Lawrence & Wishart, London. | 1
Marx, K. (1843). Critique of Hegel’s Philosophy of Right. | 1
Marx, K. (1844). Economic and Philosophical Manuscripts.; Marx, K. & Engels, F. (1848). The Communist Manifesto. | 1
Atkin, A. (n.d.). “Charles Sanders Peirce: Pragmatism”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/peircepr | 1
Peirce, C. S. (1905). The Collected Papers of Charles S. Peirce, 8 vols., C. Hartshorne, P. Weiss, and A. W. Burks (eds.). Cambridge: Harvard University Press. 1931–1966. | 1
Peirce, C. S. (1903). 1992-1998: The Essential Peirce (EP), 2 vols., ed. Nathan Houser & Christian Kloesel (vol. 1) and Peirce Edition Project (vol. 2), Bloomington and Indianapolis: Indiana University Press. | 1
James, W. (1880). Great Men, Great Thoughts, and the Environment.; James, W. (1890). The Principles of Psychology. | 1
Perry, R. 1935. Thought and Character of William James. Boston: Little, Brown and Co. | 1
Nietzsche, F. (1901). The Will to Power.; Nietzsche, F. (1887). The Genealogy of Morals. Translator: H. B. Samuel. Dover. 2003. | 1
Nietzsche, F. (1886). Beyond Good and Evil, trans. Walter Kaufmann, Random House. New York. 1966. | 1
Nietzsche, F. (1872). The Birth of Tragedy. Translator: W. A. Haussman. T.N. Foulis. 1910. | 1
Nietzsche, F. (1913). The Gay Science. Translator: J. Nauckhoff. Cambridge University Press. 2001. | 1
Bradley, F. H. (1883). The principles of logic. Oxford University Press. | 1
Bradley, F. H. (1893). Appearance and reality. Swan Sonnenschein. | 1
Magee, B. (1998). The Story of Philosophy. DK Pub.; Frege, G. (1893/1903/2009). Grundgesetze Der Arithmetik. Paderborn: Mentis.; Frege, G. (1897/1979). “Logic”. Hans Hermes, Friedrich Kambartel, and Friedrich Kaulbach (eds.), Posthumous Writings. Oxford: Basil | 1
Frege, G. (1979). Posthumous Writings, H. Hermes et al., eds., P. Long et al., trans. University of Chicago Press, Chicago | 1
Frege, G. (1884). The Foundations of Arithmetic: A Logico-Mathematical Enquiry Into the Concept of Number. | 1
Poincaré, H. (1908). Science et Methode, Paris: Flammarion. Translation in 1913. | 1
Freud, S. (1914). On narcissism. | 1
Saussure, F. (1916). Course in General Linguistics. | 1
Behnke, E. (n.d.). “Edmund Husserl: Phenomenology of Embodiment”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/husspemb/ | 1
Husserl, E. (1928). The Phenomenology of Internal Time-Consciousness. | 1
Mohanty, J.N. (1977). “Husserl and Frege: A New Look at their Relationship”. Mohanty, J.N. (Ed.), Readings on Edmund Husserl’s Logical Investigations. Springer, Dordrecht. | 1
Bergson, H. (1907). Creative Evolution. | 1
Bergson, H. (1903). An Introduction to Metaphysics.; Bergson, H. (1907). Creative Evolution. | 1
Field, R. (n.d.). “John Dewey”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/dewey/ | 1
Dewey, J. (1916). Essays in Experimental Logic. Chicago: University of Chicago Press. | 1
Capps, J. (n.d.). “The Pragmatic Theory of Truth”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/truth-pragmatic/ | 1
Dewey, J. (1922). “The good of activity”, Human Nature and Conduct: An Introduction to Social Psychology. New York: Modern Library. | 1
Seifert, V. (2023). Chemistry’s Metaphysics (Elements in Metaphysics). Cambridge: Cambridge University Press. | 1
Flamm, M. C. (n.d.). “George Santayana”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/santayan/ | 1
Croce, B. (1912). The Essence of Aesthetic. Translated by Douglas Ainslie. London: Heinemann. 1921. | 1
Croce, B. (1909). Aesthetic: As science of expression and general linguistic. (D. Ainslie, Trans.) New York, NY: Noonday. 1922. | 1
Kelsen, H. (1960/1967). Pure Theory of Law, M. Knight (trans.), Berkeley: University of California Press. | 1
Moore, G. E. (1903). “The refutation of idealism”. Mind 12 (48):433-453. | 1
Hatfield, G. (n.d.). “Sense Data”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/sense-data/ | 1
Baldwin, T. (n.d.). “George Edward Moore”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/moore/ | 1
Crisp, R. (n.d.). “Well-being”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/well-being/ | 1
Moore, G. E. (1903). Principia Ethica. Cambridge University Press. | 1
Irvine, A. D. (n.d.). “Russell’s Paradox”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/russell-paradox/ | 1
Russell, B. (1959). My Philosophical Development, London: Routledge. 1995. | 1
Stubenberg, L. (n.d.). “Neutral Monism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/neutral-monism/ | 1
Russell, B. (1913). “On the Notion of Cause”. Proceedings of the Aristotelian Society 13:1-26. | 1
Russell, B. (1923). “Vagueness”. Australasian Journal of Philosophy and Psychology, 1. | 1
Russell, B. (1932). “In Praise of Idleness”. | 1
Eddington, A. (1939). The Philosophy of Physical Science. Cambridge University Press. | 1
Wittgenstein, L. (1921). Tractatus Logico-Philosophicus. | 1
Ramsey, F. (1925). “Universals”. Mind, XXXIV: 401–17. | 1
Ramsey, F. (1978). Foundations: Essays in Philosophy, Logic, Mathematics and Economics. London and Henley: Routledge and Kegan Paul. | 1
Ramsey, F. (1927). “Facts and Propositions”. Proceedings of the Aristotelian Society (Supplementary Volume), 7. | 1
Goldman, A., & Beddor, B. (n.d.). “Reliabilist Epistemology”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/reliabilism/ | 1
Ramsey, F. (1929). “Truth and Probability”. R. B. Braithwaite (Ed.), The Foundations of Mathematics and Other Logical Essays. London: Kegan Paul, Trench, Trubner, & Co. 1931. | 1
Ramsey, F. (1929). “General Propositions and Causality”. R. B. Braithwaite (Ed.), The Foundations of Mathematics and Other Logical Essays. London: Kegan Paul, Trench, Trubner, & Co. 1931. | 1
MacBride, F., et al. (n.d.). “Frank Ramsey”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/ramsey/; Ladyman, J. (n.d.). “Structural Realism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/structural-realism/ | 1
Ramsey, F. (1925). “The Foundations of Mathematics”. Proceedings of the London Mathematical Society (Series 2), 25, 338-384. | 1
Wheeler, M. (n.d.). “Martin Heidegger”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/heidegger/ | 1
Heidegger, M. (1950). “The Origin of the Work of Art” in Off the Beaten Track. Edited & Translated by Julian Young & Kenneth Haynes. Blackwell Publishers. 2002. | 1
Leitgeb, H. & Carus, A. (n.d.). “Rudolf Carnap”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/carnap/aufbau.html | 1
Carnap, R. (1932). “The Elimination of Metaphysics through the Logical Analysis of Language”. Erkenntnis, 60-81. | 1
Carnap, R. (1928). The Logical Structure of the World: Pseudoproblems in Philosophy. Berkeley: University of California Press. 1967. | 1
Carnap, R. (1958). An Introduction to the Philosophy of Science. Dover Publications. | 1
Britannica, T. Editors of Encyclopaedia (n.d.). “Susanne K. Langer”. Encyclopedia Britannica. https://www.britannica.com/biography/Susanne-K-Langer | 1
Langer, S. K. (1953). Feeling and form. Routledge & Kegan Paul. | 1
Skinner, B. F. (1974). About Behaviorism, New York: Vintage. | 1
Skinner, B. F. (1971). Beyond Freedom and Dignity, New York: Knopf. | 1
Hempel, C. G. (1942). “The Function of General Laws in History”. The Journal of Philosophy, 39(2), 35–48. | 1
Hempel, C. G. (1935). “The Logical Analysis of Psychology”. Revue de Synthese. 10: p. 21-42. | 1
Hempel, C. G. (1966). Philosophy of Natural Science, Englewood Cliffs, N. J.: Prentice-Hall. | 1
Popper, K. (1934). The Logic of Scientific Discovery, London and New York: Routledge. 2002. | 1
Popper, K., & Eccles, J. C. (1977). The Self and Its Brain. Springer. | 1
Popper, K. (1948). “The Bucket and the Searchlight: Two Theories of Knowledge” in Objective Knowledge. Oxford: Clarendon. 1972. | 1
Popper, K. (1945). The Open Society and Its Enemies. Princeton University Press. 2013. | 1
Mayr, E. (1961). “Cause and effect in biology: Kinds of causes, predictability, and teleology are viewed by a practicing biologist”. Science, 134, 1501-1506. | 1
Mayr, E. (1942). Systematics and the Origin of Species. Columbia University Press. | 1
Mayr, E. (1997). “The objects of selection”. Proceedings of the National Academy of Sciences. | 1
Adorno, T. (1951). Minima Moralia. | 1
Sartre, J. P. (1943). Being and Nothingness, trans. Barnes, H. London: Routledge. 1993. | 1
Sartre, J. P. (1943). Sketch for a Theory of the Emotions. Routledge. 1971. | 1
Merleau-Ponty, M. (1945). Phenomenology of Perception. Translated by D. Landes. London: Routledge. 2012. | 1
Ambrosio, C. (2021). “Feyerabend on art and science”. In Karim Bschir & Jamie Shaw (eds.), Interpreting Feyerabend: Critical Essays. Cambridge University Press. | 1
Branko, M. (2010). “A defence of light: Ernst Gombrich, the Innocent Eye and seeing in perspective”. Journal of Art Historiography. 3. | 1
Colyvan, M. (n.d.). “Indispensability Arguments in the Philosophy of Mathematics”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/mathphil-indis/ | 1
Quine, W. V. O. (1969). “Epistemology naturalized”. Ontological relativity and other essays. Columbia University Press. | 1
Quine, W. V. O. (1970). Philosophy of Logic. Oxforf University Press. | 1
Frankena, W.K. (1973). Ethics. Prentice-Hall. | 1
Greenberg, C. (1960). “Modernist Painting”. Forum Lectures (Washington, D. C.: Voice of America). | 1
Greenberg, C. (1961). “The Identity of Art”.; Greenberg, C. (1969). Avant-Garde Attitudes: New Art in the Sixties. Power Institute of Fine Arts, University of Sydney. | 1
Greenberg, C. (1969). Avant-Garde Attitudes: New Art in the Sixties. Power Institute of Fine Arts, University of Sydney. | 1
Greenberg, C. (1961). “The Identity of Art”. | 1
Sellars, W. (1963). Science, Perception and Reality. Atascadero CA: Ridgeview P.C. | 1
DeVries, W. (n.d.). “Wilfrid Sellars”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/sellars/ | 1
Sellars, W. (1962). “Philosophy and the Scientific Image of Man”. R. Colodny (Ed.), Frontiers of Science and Philosophy. Pittsburgh, PA: University of Pittsburgh Press. | 1
Strawson, P. (1952). Introduction to logical theory. Methuen. | 1
Grice, P. (1989). Studies in the Way of Words. Harvard University Press. | 1
Grice, P. (1941). “Personal Identity”, Mind, 50: 330–350. | 1
Campbell, D. T. (1969). “A phenomenology of the other one: Corrigible, hypothetical, and critical”. T. Mischel (Ed.), Human action: Conceptual and empirical issues. New York: Academic Press. | 1
Campbell, D. T. (1974). “Evolutionary epistemology”. P. A. Schlipp (Ed.), The philosophy of Karl Popper (Vol. 1, pp. 413-459). La Salle. | 1
Beardsley, M. (1982). The Aesthetic Point of View: Selected Essays. Cornell University Press. | 1
Weitz, M. (1955). “Truth in literature”. Revue Internationale de Philosophie, 9(31), 116-129. | 1
Barthes, R. (1970). “S/Z: An Essay”. Hill and Wang: New York. 1975. | 1
Geach, P. (1956). “Good and Evil”. Analysis, 17(2), 33-42. | 1
Marturano, A. (n.d.). “Non-Cognitivism in Ethics”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/non-cogn/ | 1
Geach, P. (1977). “Again the Logic of ‘Ought’”. Philosophy, 52(202), 473-476. | 1
Geach, P. (1957). Mental Acts: Their Content and Their Objects. London: Routledge & Kegan Paul. | 1
Wiland, E. & Driver, J. (n.d.). “Gertrude Elizabeth Margaret Anscombe”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/anscombe/ | 1
Anscombe, G. E. M. (1969). “On Promising and Its Justice, and Whether It Needs be Respected In Foro Interno”. Crítica: Revista Hispanoamericana de Filosofía, 3(7/8), 61–83. | 1
Davidson, D. (2005). Truth, Language, and History: Philosophical Essays Volume 5. Oxford, GB: Clarendon Press. | 1
Malpas, J. (n.d.). “Donald Davidson”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/davidson/ | 1
Davidson, D. (1986). “A Coherence Theory of Truth and Knowledge”. Truth And Interpretation: Perspectives on the Philosophy of Donald Davidson (pp. 307-319). Oxford: Basil Blackwell. | 1
Melden, A. (1961). Free Action. London: Routledge and Kegan Paul. | 1
Smart, J. J. C. (1949). “The River of Time”. Mind, 58(232), 483-494. | 1
Smart, J. J. C. (1968). Between science and philosophy. New York: Random House. | 1
Smart, J. J. C. (1963). Philosophy and Scientific Realism. Routledge. | 1
Smart, J. J. C. (2007). “The Mind/Brain Identity Theory”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/archives/spr2017/entries/mind-identity/ | 1
Rey, G. (n.d.). “Philosophy of mind”. Encyclopædia Britannica. https://www.britannica.com/topic/philosophy-of-mind/Qualitative-states | 1
Smart, J. J. C. (1961). An Outline of a System of Utilitarian Ethics. Carlton: Melbourne University Press. | 1
