Thales|Everything is water in one form or another.
Georg Wilhelm Friedrich Hegel|Repeating dialectical process: Stage 1 + Opposition → Stage 2 (+ Opposition → Stage 3 ...)
Georg Wilhelm Friedrich Hegel|Even the apparently most immediate contents of consciousness are in fact mediated by the concepts with which they are grasped.
Georg Wilhelm Friedrich Hegel|One’s self-consciousness is dependent on one’s recognition of those others as similarly recognizing oneself as a self-conscious subject.
Georg Wilhelm Friedrich Hegel|Complex patterns of mutual recognition constituting ‘objective spirit’ provide the social matrix within which individual self-consciousnesses exist.
Georg Wilhelm Friedrich Hegel|The subjective spirit and the objective spirit are parts of ‘Geist’ (or God), the Absolute Spirit – the ultimate essence of being, ‘I’ that is ‘We’ and ‘We’ that is ‘I’.
Georg Wilhelm Friedrich Hegel|Reality is a historical process where Geist develops towards self-realization and self-consciousness through the actions of people, groups, and states.
Georg Wilhelm Friedrich Hegel|Individuals feel alienated as they fail to understand the social and political structures that they create.
Georg Wilhelm Friedrich Hegel|We project perfect qualities on to God (omniscience, etc.) leading to alienation whereas we share the same spiritual existence.
Georg Wilhelm Friedrich Hegel|The self-determination of the bondsman through submission to the lord is incomplete because of the asymmetry in this relation.
Georg Wilhelm Friedrich Hegel|The bondsman objectifies himself through his labor, his transformed environment serving as a reflection of his self-realizing activity.
Georg Wilhelm Friedrich Hegel|When Geist will reach self-consciousness, alienations will end, everything will be harmonious, and change will stop (‘the Absolute’).
Georg Wilhelm Friedrich Hegel|In the Absolute, everyone will work freely, serving the needs of the whole community rather than of masters, subject only to the discipline of reason.
Georg Wilhelm Friedrich Hegel|The perfected nation-state is the end/goal of history; it is a spiritual individual providing an optimal level of self-consciousness and rationality.
Georg Wilhelm Friedrich Hegel|Religion supports the realization of Geist in the world and thus cannot have supremacy over or be opposed to the state.
Georg Wilhelm Friedrich Hegel|Hereditary monarchy is the appropriate form of authority: strong central government along with a system of indirect representation through Estates.
Georg Wilhelm Friedrich Hegel|Giving everyone an equal vote in large elections makes the outcome devoid of rational form, impersonal, contingent, and alienating.
Georg Wilhelm Friedrich Hegel|The economy, especially through the division of labor, produces fragmentation and diminishment of human life.
Georg Wilhelm Friedrich Hegel|The task of the state is not to thoroughly bureaucratize civil society but to provide rationality, oversight, regulation, and when necessary intervention.
Georg Wilhelm Friedrich Hegel|Art is where consciousness of the Absolute first takes shape but modern religion and philosophy have passed beyond the limitations of art.
Georg Wilhelm Friedrich Hegel|Philosophy has no other object but God and so is essentially rational theology, more developed than the imagistic representational form of religion.
Georg Wilhelm Friedrich Hegel|The history of philosophy is the development of one philosophy, a necessary succession of stages, culminating in the self-consciousness of Geist.
Arthur Schopenhauer|Without time and space, there can be no differentiation; the noumenal reality cannot consist of things, it is one thing.
Arthur Schopenhauer|Causal connection can exist only within the phenomenal realm, therefore noumena cannot be the causes of phenomena.
Arthur Schopenhauer|The phenomenal is not a different reality from the noumenal but the same reality known in a different way.
Arthur Schopenhauer|Will and the bodily movements are the same events known in two different ways (from inside and from outside).
Arthur Schopenhauer|The purposeless energy, the unconscious impersonal ‘will’ (force) that we see in the physical events is what noumenal is.
Arthur Schopenhauer|In the phenomenal world, we seem to be separate individuals but ultimately we are one and undifferentiated in the noumenal.
Arthur Schopenhauer|The basis of morality and love is compassion; we are one in the noumenal and we share each other’s sufferings and joys.
Arthur Schopenhauer|The concept of a personal God is too anthropomorphic to be taken seriously.
Arthur Schopenhauer|The misery everywhere and the imperfection of humans cannot be reconciled with the existence of an all-wise, all-good, and all-powerful Being.
Arthur Schopenhauer|The concept of soul is useless; it supposes mind to be inseparably connected and yet independent of the organism.
Arthur Schopenhauer|Violence and injustice are rife in both the animal world and the human world; each individual lives a meaningless and purposeless tragedy, and dies.
Arthur Schopenhauer|The empirical world seems to be independent of ourselves, but in fact it is all subject-dependent – an illusion.
Arthur Schopenhauer|We should not be taken in by the empirical world; the end stage of philosophical understanding is the turning away of the human will from the world.
Arthur Schopenhauer|We are slaves to our desires, never fully satisfied; existence is suffering.
Arthur Schopenhauer|We can only escape existential suffering through aesthetic contemplation or asceticism.
Arthur Schopenhauer|The productions of genius (art, philosophy) serve no useful purpose; they alone exist for their own sake, they are the flower of existence.
Arthur Schopenhauer|Through arts we experience being taken out of time and space, and out of ourselves, and being in touch with something outside the empirical world.
Arthur Schopenhauer|Music transcends the other arts in metaphysical significance; through its abstractness we can enjoy being out of space and time.
Arthur Schopenhauer|Nature has furnished men and women with different attributes; their bodies and minds are adapted to their different roles in the propagation of the species.
Arthur Schopenhauer|Women are the second sex in many respects – childish, foolish, extravagant, short-sighted, weak, pretentious, cunning, and unaesthetic.
Arthur Schopenhauer|European social, civil, and political affairs would improve if women were socially and legally assigned their natural position as subordinates, like in Asia.
Ludwig Feuerbach|God is an imaginary representation of the human species-essence; theology is anthropology.
Ludwig Feuerbach|When human beings in the course of their history acquire new and different wishes, they worship new and different divinities.
Ludwig Feuerbach|Religion is an alienated form of human self-consciousness: it involves the relation of us to our own essence as though to a being distinct from ourselves.
Ludwig Feuerbach|Theological claims understood in the usual sense (referring to a non-human divine person) are self-contradictory.
Ludwig Feuerbach|To posit matter as God is to affirm atheism and materialism.
Ludwig Feuerbach|We need to renounce the theological essence of religion to affirm its true anthropological essence: the divinity of man.
Ludwig Feuerbach|The hidden “truth of Christianity” will finally be realized as an atheistic humanism which embraces the historical tasks of human self-realization.
Ludwig Feuerbach|Thought comes from being, but being does not come from thought.
Ludwig Feuerbach|I am a real, sensuous being and the body in its totality is my ego, my essence itself.
John Austin|The whole of our conduct should be guided by the principle of utility, insofar as it has not been determined by Revelation.
John Austin|An independent political society must be in a habit of obedience to a sovereign (person or group) which does not habitually obey anyone else.
John Austin|Laws are commands set by the sovereign, prescribing kinds of acts (not specific acts), clothed with legal sanctions.
John Austin|‘Positive law’ (set by the sovereign) differs both from the laws of God and from ‘positive morality’ (rules of conduct and conventional morality).
John Austin|The existence of law is one thing; its merit or demerit is another; a law, which actually exists, is a law, though we happen to dislike it.
John Stuart Mill|When we are considering our policies, we should seek the greatest happiness of the greatest number.
John Stuart Mill|Higher (mental, aesthetic, and moral) pleasures should be taken to be preferable (in kind, rather than by degree) to lower pleasures.
John Stuart Mill|To have a right is to have something which society ought to defend me in the possession of, for reasons of general utility.
John Stuart Mill|Human liberty comprises liberty of thought and feeling, liberty of tastes and pursuits, and liberty of combination among individuals.
John Stuart Mill|The only part of the conduct of any one, for which one is amenable to society, is that which harms others; over oneself, the individual is sovereign.
John Stuart Mill|There is no parity between the feeling of a person for their own opinion, and the feeling of another who is offended at their holding it.
John Stuart Mill|There ought to exist the fullest liberty of professing and discussing any doctrine, however immoral it may be considered.
John Stuart Mill|Our beliefs have no safeguard to rest on, but a standing invitation to the whole world to prove them unfounded; this is the amount of certainty attainable.
John Stuart Mill|Even a true opinion will lose its power/meaning and become a mere formal profession unless it is vigorously and earnestly contested.
John Stuart Mill|Having a true opinion in the mind as a prejudice, as a belief independent of argument, is not knowing the truth.
John Stuart Mill|The indulgence of hope with regard to the existence of God and the afterlife, while we recognize that we have no ground for more than a hope, is philosophically defensible.
John Stuart Mill|Different persons should be allowed to lead different lives (different experiments of living); whatever crushes individuality is despotism.
John Stuart Mill|It is important to give the freest scope possible to uncustomary things, in order that it may in time appear which of these are fit to be converted into customs.
John Stuart Mill|No community should be prevented from living under the laws they please, provided they commit no aggression on other nations, and allow freedom of departure.
John Stuart Mill|Despotism is a legitimate mode of government in dealing with barbarians, provided the end be their improvement.
John Stuart Mill|To produce children without a fair prospect of being able to provide for their physical and mental development is a crime against them and society.
John Stuart Mill|A general State education is a mere contrivance for moulding people to be exactly like one another, so as to please the predominant power.
John Stuart Mill|Ideal government: the greatest dissemination of power consistent with efficiency; the greatest centralisation of information, and diffusion of it from the center.
John Stuart Mill|The inequality of men and women is a relic from the past; it should be replaced by a system of perfect equality.
John Stuart Mill|What is now called the nature of women is an eminently artificial thing – the result of forced repression in some directions, unnatural stimulation in others.
John Stuart Mill|To ensure a truly exceptionless regularity (and the law of causality), we must include a large portion of the universe into the cause (the “whole cause”).
John Stuart Mill|With our mediated experience, we can have no warrant for believing in non-mental entities; matter is a permanent possibility of sensation.
John Stuart Mill|The sensation of color cannot be explained by any law of motion (of the particles in the body) even though there is correlation between the two.
John Stuart Mill|The basic principles of logic and mathematics are generalizations from experience rather than known a priori.
John Stuart Mill|There are no such things as numbers in the abstract; numbers are properties of aggregates and denote aggregates with those properties.
John Stuart Mill|Proper names are not connotative: they denote the individuals who are called by them without indicating any attributes as belonging to those individuals.
Charles Darwin|All the organic beings which have ever lived on this earth have descended from some one primordial form.
Charles Darwin|There is one general law in the evolution of organisms: multiply, vary, let the best adapted live and the worst adapted die. (‘natural selection’)
Charles Darwin|Although altruism gives little advantage to each individual over others in a group, a group of altruists would have an immense advantage over other groups.
Charles Darwin|The sufferings of millions of animals throughout almost endless time are irreconcilable with the idea of a God of unbounded benevolence.
Charles Darwin|It is hardly possible to define clearly what is meant by the organisation of a living thing being higher or lower.
Charles Darwin|‘Species’ is an artificial concept made for convenience; the search for the essence of the term ‘species’ is in vain.
Charles Darwin|The gradual formation of different languages is similar to that of species; the survival of favored words is natural selection.
Charles Darwin|The study of nature and humans will become far more interesting when we regard every production of nature as one which has had a history.
Søren Kierkegaard|We have to look at individual entities, not ideas and abstractions, to understand the world because that is all there is.
Søren Kierkegaard|The individual human being is the ultimate moral actor; our subjective, personal lives, our decisions are important.
Søren Kierkegaard|The attempt to make the state the highest ethical authority is an unethical flight from the category of individuality into that of the race.
Søren Kierkegaard|We build our lives and ourselves through the choices we make.
Søren Kierkegaard|The relationship of the individual soul to God is what matters most.
Søren Kierkegaard|Whoever learns to be anxious in the right way has learned the ultimate.
Søren Kierkegaard|The supreme paradox of all thought is the attempt to discover something that thought cannot think.
Karl Marx|Reality is a historical dialectical process operating with alienations.
Karl Marx|Only when alienations end will we be free and in control, as parts of an organic society instead of selfish individuals.
Karl Marx|The world and the dialectical process of change consist of material (not spiritual) forces; history is nothing but the activity of people pursuing their aims.
Karl Marx|The human essence is no abstraction inherent in each single individual; it is the ensemble of the social relations, and all social life is essentially practical.
Karl Marx|The defining characteristic of each individual is their relationship to the means of production; this gives rise to the existence of socio-economic classes.
Karl Marx|The dialectic works with the development of the means of production and the conflicts between socio-economic classes.
Karl Marx|The ideas of the ruling class are in every epoch the ruling ideas; the class which is the ruling material force of society, is its ruling intellectual force.
Karl Marx|Institutions, religions, philosophies, the arts, etc. (‘superstructure’) are determined by the economic base (‘substructure’).
Karl Marx|Religion is the opium of the people; to abolish religion as the illusory happiness of the people is to demand their real happiness.
Karl Marx|The Industrialist Capitalist society is the last stage before the end of history, of the dialectic.
Karl Marx|Unlike animals, humans produce even when they are free from physical need and truly produce only in freedom from such need, as conscious beings.
Karl Marx|Estranged labor (factories, division of labor, etc.) alienates the workers from the product, the process, the species-being, and themselves.
Karl Marx|When commodities are in the relation of exchange, their ‘exchange-value’ is something totally independent of their ‘use-value’.
Karl Marx|The capitalists exploit the workers by paying them less than the value of their labor and appropriate the ‘surplus-value’ thus created to make profit.
Karl Marx|Commodities appear as independent beings endowed with life, entering into relation both with one another and the human race. (‘commodity fetishism’)
Karl Marx|Private property has made us so stupid and one-sided that an object is only ours when we have (possess, eat, drink, wear, inhabit, etc.) it.
Karl Marx|It is inevitable that the workers will overthrow the capitalists and create a class-free society where the means of production belong to all.
Karl Marx|Philosophers have hitherto only interpreted the world in various ways; the point is to change it.
Franz Brentano|We have no experience of that which truly exists; physical phenomena (light, sound, heat, location, etc.) are only inadequate representations.
Franz Brentano|All phenomena, whether physical or mental, are appearances, objects of mental phenomena, “things of the mind”.
Franz Brentano|Every mental phenomenon is characterized by the intentional (or mental) inexistence of an object, and reference to a content, direction toward an object.
Franz Brentano|Intentionality is characteristic exclusively of mental phenomena; no physical phenomenon exhibits anything like it.
Franz Brentano|Every mental phenomenon is directed towards itself as a secondary object; inner perception makes us become aware of our mental phenomena.
Franz Brentano|Consciousness and intentionality are constitutively related, and cannot be treated in isolation from one another.
Franz Brentano|An object has ‘real existence’ when it is presented to us as it is in itself; only mental phenomena, in immediate inner perception, have real existence.
Franz Brentano|We can know truths about our mentality with certainty; psychology is a first-person empirical science.
Franz Brentano|Consciousness always forms a unity: we can only perceive one mental phenomenon at a specific point in time.
Franz Brentano|Inner observation (introspection) is impossible because it requires us to have two distinct acts in the same moment.
Franz Brentano|There cannot be unconscious mental phenomena, but only conscious mental phenomena of very low intensity.
Franz Brentano|There are three basic kinds of mental phenomena: presentations, judgments, and emotions.
Franz Brentano|Psychology contains the roots of aesthetics, logic, ethics, and politics, as ‘immediately evident’ judgments or emotions.
Charles Sanders Peirce|Knowledge is an activity: a process of doubt/need-to-know, evaluation, and understanding/explaining.
Charles Sanders Peirce|A full understanding of a concept must include the whole of the effects, which might have practical bearings, we conceive the concept to have.
Charles Sanders Peirce|The properties of things (e.g. a diamond’s hardness) cannot consist in anything but in their ‘behaviour’ in an agent’s interactions with them.
Charles Sanders Peirce|Knowledge is an instrument of survival in this world; we acquire it as participants, not as spectators.
Charles Sanders Peirce|The only way to take inquiry to its limit is through the adoption of a scientific method; philosophical questions remain within the realm of scientific inquiry.
Charles Sanders Peirce|The progress of science cannot go far except by collaboration; no mind can take one step without the aid of other minds.
Charles Sanders Peirce|Scientific activity isn’t adding new certainties to existing ones; it’s replacing old explanations with better ones.
Charles Sanders Peirce|The opinion which is fated to be ultimately agreed to by all who investigate is what we mean by truth, and the object represented in this opinion is the real.
Charles Sanders Peirce|Some of our mental faculties are not only localized in our brains but also in the tools we use; I cannot have a discussion without my inkstand.
Charles Sanders Peirce|‘Abduction’: The surprising fact, C, is observed; but if A were true, C would be a matter of course; hence, there is reason to suspect that A is true.
Charles Sanders Peirce|An ‘Icon’ is a sign which refers to the object that it denotes merely by virtue of characters of its own.
Charles Sanders Peirce|An ‘Index’ is a sign which refers to the object that it denotes by virtue of being affected by that object.
Charles Sanders Peirce|A ‘Symbol’ is a sign which is constituted a sign merely or mainly by the fact that it is used and understood as such, whether the habit is natural or conventional.
Charles Sanders Peirce|A proper name, when one meets with it for the first time, works like an Index; with repeated acquaintance, it becomes an Icon and then a Symbol.
William James|Statements and theories that do all the jobs required of them (fit the known facts, generate insights/predictions, etc.) are true.
William James|If a statement cannot be disproved and a person benefits from believing in it, they are justified in doing so (e.g. religious beliefs).
William James|Before we invest much time or effort in seeking the meaning of anything, we should consider what practical difference it would make if we could find out.
William James|All thought is owned by some personal self.
William James|All thought is constantly in flux and never static; nevertheless, there is an ongoing continuity of thought for every thinker. (‘stream of consciousness’)
William James|New ideas are produced as accidental variations in the instable human brain and then selected by the person’s consciousness and the social environment.
William James|Introspective observation is what we have to rely on first and foremost in psychology; it is difficult and fallible but this is true of all kinds of observation.
William James|The only safeguard is in the final consensus of our farther knowledge, later views correcting earlier ones, until the harmony of a consistent system is reached.
William James|Our only intelligible notion of an object in itself is that it should be an object for itself; our physical perceptions are effects on us of ‘psychical’ realities.
William James|The notion of an all-encompassing Absolute Spirit undermines the values of human individuality, freedom, and responsibility.
William James|Four postulates of rationality are value-related, but unknowable, matters of belief: God, immortality, freedom, and moral duty.
William James|Realms of reality: objects of sense experience; science; philosophy & mathematics; illusion & prejudices; mythology & fiction; subjective opinions; madness.
William James|Determinism, though logically tenable, is pragmatically unacceptable: it trivializes evil and renders our natural reaction of regret pointless.
William James|Life can become worth living if we believe that it is and act on that belief, our commitment giving it meaning.
Friedrich Nietzsche|Concepts arise from the equation of unequal things, overlooking what is individual and actual; nature is acquainted with no forms and no concepts.
Friedrich Nietzsche|To be truthful means to employ the usual linguistic metaphors, to lie according to a convention which, after long usage, seems to be fixed, canonical, and binding.
Friedrich Nietzsche|The success of science in offering an objective picture is an illusion since science builds on our language and our representations of time, space, etc.
Friedrich Nietzsche|We cannot establish any fact ‘in itself’, there is only a “knowing” from a perspective; the more eyes we use, the more complete will be our “objectivity”.
Friedrich Nietzsche|We need to critique our moral values and fix their hierarchy, by considering their history and also using medical science.
Friedrich Nietzsche|The desire for free will and ultimate responsibility involves nothing less than to be self-caused, to pull oneself up into existence by the hair, out of nothingness.
Friedrich Nietzsche|There is no neutral substratum, no “being” behind doing, working, becoming; “the doer” is a mere appanage to the action.
Friedrich Nietzsche|The biological theory of “adaptation”, a second-class, mechanical, reactive activity, fails to realize the real essence of life, its activity, its will to power.
Friedrich Nietzsche|To talk of intrinsic right and wrong is nonsensical; life essentially functions by injuring, oppressing, exploiting, and annihilating.
Friedrich Nietzsche|Our success as a species was due to the perpetual elimination of the weak, incompetent, and stupid by the strong, competent, and clever.
Friedrich Nietzsche|The origin of the “State” lies in conquerors and masters dominating populations, not in contracts.
Friedrich Nietzsche|Language can be seen as the expression of the power of the masters; they seal every object and event with a sound, and thereby take possession of it.
Friedrich Nietzsche|The Judeo-Christian tradition created a slave-morality based on resentment, pity, guilt, and self-denial, exalting the weak and stigmatizing the strong.
Friedrich Nietzsche|The aristocratic morality acts independently (with the concepts “good” and “bad”); the slave-morality requires an external world with “evil” to react to.
Friedrich Nietzsche|The obstructed and inverted cruelty of civilized humans invented the bad conscience so as to torture themselves with the thought of owing something to God.
Friedrich Nietzsche|The bad conscience turns against the origin of the human race (original sin), Nature (its diabolization), or existence generally (Nihilism, Buddhism).
Friedrich Nietzsche|The ascetic ideal has dominated all philosophy and science, because Truth was fixed as Being, as God, because Truth was not allowed to be a problem.
Friedrich Nietzsche|When the belief in the God of the ascetic ideal is repudiated, the problem of the value of truth arises, even for science, atheism, and morality.
Friedrich Nietzsche|We should embrace an ethics of life-assertion; “good” and “true” are things that are on the side of life and fulfilment, not self-restraint.
Friedrich Nietzsche|Art is a saving enchantress, offering the sublime as the artistic subjugation of the awful, and the comic as the artistic delivery from the nausea of the absurd.
Friedrich Nietzsche|We must become human beings who are new, unique, incomparable, who give themselves (non-“universal”) laws, who create themselves.
Friedrich Nietzsche|Everything that has happened will happen again in cosmic epicycles of time; this can give motivation to live more fulfilling lives.
Francis Herbert Bradley|The aim of morality is self-realization – pursuing to realize one’s ideal self in every situation.
Francis Herbert Bradley|The importance of happiness as the point of morality can be retained but the means by which happiness is attained are also important.
Francis Herbert Bradley|The concept of duties in morality can be retained if their obligatoriness arises from the nature of each duty rather than from some formal principle.
Francis Herbert Bradley|Realization of the ideal self is unattainable through morality because morality depends on the existence of evil, but it could be possible in religion.
Francis Herbert Bradley|The ideas by which we try to understand the universe (cause, motion, self, space, time, etc.) lead to contradictions in their implications.
Francis Herbert Bradley|The notion of the thing-in-itself is self-contradictory; if we really know nothing about it, then we do not even know that it exists.
Francis Herbert Bradley|If a relation were a further kind of real thing along with its terms, then a further relation would be required to relate it to its terms, and so on ad infinitum.
Francis Herbert Bradley|Relations exist only in and through a whole which cannot in the end be resolved into relations and terms.
Francis Herbert Bradley|The impression of reality’s consisting of a multiplicity of related objects is a result of the separations imposed by thought.
Francis Herbert Bradley|The final truth is identical with the whole of reality; it transcends thought and logical categories altogether, it is inexpressible.
Francis Herbert Bradley|Reality is one; its contents are nothing but sentient experience, and it is a single and all-inclusive experience, embracing every partial diversity.
Francis Herbert Bradley|The Absolute articulates itself in a plurality of lesser sentient wholes, finite centres of experience, coordinated as parts of the overarching Reality.
Francis Herbert Bradley|Reality itself admits of degrees: the more a phenomenon is a fragmentary aspect of the whole, the less real it is.
Francis Herbert Bradley|The Absolute transcends good and evil, and religion – it is in a sense a Supreme Being, but not a personal God.
Gottlob Frege|Logic is independent of human thought; it is a normative science whose laws prescribe universally how one should think.
Gottlob Frege|Mathematical truths are not empirical truths and numbers cannot be properties of aggregates of objects.
Gottlob Frege|Arithmetics can be derived from logic.
Gottlob Frege|Numbers can be construed as sets.
Gottlob Frege|The ‘reference’ of an expression is the actual thing corresponding to it – its truth value if it is a proposition.
Gottlob Frege|The ‘sense’ of an expression is the ‘mode of presentation’ by which one conceives of the reference, whether or not it exists.
Gottlob Frege|Expressions with different senses can have the same reference.
Gottlob Frege|A thought is something for which the question of truth arises; it is the ‘sense’ of a declarative sentence.
Gottlob Frege|Thoughts are immaterial and timeless – neither things of the outer world nor subjective ideas (they need no bearer); a third realm must be recognized.
Gottlob Frege|Thoughts are apprehended by thinkers and bring about changes in the inner and outer world; thinkers do not create the thoughts.
Gottlob Frege|Only in the context of a sentence do words have any meaning.
Gottlob Frege|“I see blue” has the same content as “It is true that I see blue”; nothing is added to the thought by my ascribing to it the property of truth.
Gottlob Frege|“Do I see the same colors as you do?” is an unanswerable, nonsensical question; color terms characterize sense-impressions belonging to one’s consciousness.
Henri Poincaré|The principle of complete induction, which is not provable via analytical inferences, is a genuine synthetic a priori judgment.
Henri Poincaré|Arithmetic cannot be reduced to logic (which is analytic); it is a synthetic science whose objects are not independent from human thought.
Henri Poincaré|Mathematicians can use the methods of logic to check a proof, but they must use intuition to create a proof.
Henri Poincaré|The creative combinations of ideas are formed randomly in the subliminal ego and those that are harmonious become conscious.
Henri Poincaré|Although scientific theories (and geometries) deal with the same reality, each has its own language or syntax, which is chosen by convention.
Henri Poincaré|There is an objective, non-conventional criterion to judge the soundness of a scientific theory: the accuracy of its predictions.
Henri Poincaré|Laws are like smooth interpolated curves missing some of the data points; a scientific theory is not directly falsifiable by the experience alone.
Henri Poincaré|Hypotheses which have the maximum scope, common to all scientific theories, are the last to be changed.
Henri Poincaré|Seeing scientific theories abandoned one after the other, one may predict that the theories in fashion today will in a short time succumb in their turn.
Henri Poincaré|Objects in scientific theories are merely names of the images we substituted for the real objects which Nature will hide forever from our eyes.
Henri Poincaré|Relations between objects, expressed by equations in scientific theories, remain true in theory-changes; they are the only reality we can attain.
Sigmund Freud|There is a dynamic unconscious part of the mind which exerts pressures and influences on what we do and say.
Sigmund Freud|The ‘unconscious’ is different from the ‘preconscious’ (some memories, facts, etc.) which can become conscious.
Sigmund Freud|The human mind has three structural systems: the ‘id’ (instincts), the ‘ego’ (the reconciler), and the ‘super-ego’ (conscience).
Sigmund Freud|All the “energy” in our minds comes from the instincts alone.
Sigmund Freud|The ‘Life’ instinct (Eros) contains erotic and self-preservative instincts; the ‘Death’ instinct (Thanatos) contains sadism, aggression, self-harm, etc.
Sigmund Freud|Our adult characters are determined by our early childhood experiences which have many sexual (body-pleasure-related) elements.
Sigmund Freud|The little boy has a desire for his mother and a fear of castration by his father (Oedipus complex); the little girl develops penis envy.
Sigmund Freud|When we repress our inner conflicts, they continue to exist in the unconscious and create neurotic symptoms.
Sigmund Freud|Neurosis can sometimes be treated with psychoanalysis: a process that brings back the repressed material into consciousness.
Sigmund Freud|Our whole civilized life might be neurotic because of the sacrifice of instinctual satisfaction.
Sigmund Freud|The teachings of religion are illusions, fulfillments of our oldest and strongest wishes; just as they are unverifiable, they are also irrefutable.
Sigmund Freud|To use private judgement about religious arguments would be a wanton undertaking; such questions are too significant for that.
Sigmund Freud|The God that many philosophers define is no more than an insubstantial shadow, no longer the mighty figure of religious teaching.
Sigmund Freud|The truths contained in religion are so distorted and symbolically disguised that most people are incapable of recognizing them as truth.
Sigmund Freud|Our mental apparatus was in fact developed in the effort to map the outside world, so must have a certain amount of expediency in its structure.
Sigmund Freud|The individuals are the mortal vehicles of a possibly immortal substance (the germ-plasm), only the temporary holders of an estate which survives them.
Sigmund Freud|Artists turn their fantasies and repressed unconscious desires into objects that the rest of us enjoy because we share those fantasies and desires.
Ferdinand de Saussure|A language (‘langue’) is the virtual system possessed by all those who form part of the same speech community.
Ferdinand de Saussure|‘La parole’ is the utterances, the texts, that individuals produce and understand making use of the system that is ‘la langue’.
Ferdinand de Saussure|It is not things, but our conception of things, that are part of our language: schemas in the brain being evoked by certain combinations of sounds.
Ferdinand de Saussure|A language is a system of signs, each composed of two entirely mental values: ‘signifier’ (sound pattern) and ‘signified’ (concept).
Ferdinand de Saussure|Each signifier and each signified is a value produced by the difference between it and all the other signifiers and signifieds in the system.
Ferdinand de Saussure|The conjunction of signifier and signified is a sign which is of a positive order, and is concrete rather than abstract.
Ferdinand de Saussure|Every word or term or unit within the system is connected to an entourage of other units; no linguistic sign exists in isolation.
Ferdinand de Saussure|The link between a signifier and a signified is radically arbitrary; there is no logical connection between them.
Ferdinand de Saussure|Every element of a language is subject to change, to evolution, but no individual can change it.
Ferdinand de Saussure|Both the mutability and the immutability of language result from the arbitrariness of the sign.
Ferdinand de Saussure|Before language, human thought was an amorphous, indistinct, nebulous mass, a floating realm; and human sound was no different.
Ferdinand de Saussure|Language and writing are two distinct systems of signs; the second exists for the sole purpose of representing the first.
Edmund Husserl|The one thing that exists for sure is our consciousness; we should start from there to build our picture of reality.
Edmund Husserl|My awareness is of objects – not of myself having experiences of objects.
Edmund Husserl|We should bracket the questions about the independent existence of the objects that we perceive (‘epokhe’) and investigate them as objects of consciousness.
Edmund Husserl|We should bracket considerations concerning the contingent and accidental, and concentrate on the essences (‘eide’) of the objects and acts of consciousness.
Edmund Husserl|We have a passive phenomenological process based on our interactions with things and a linguistically/conceptually mediated active one.
Edmund Husserl|Perception is founded on a pattern of counterfactual sensori-motor relationships between our current sensory experience and our immanent anticipations.
Edmund Husserl|The totality of my perceptual expectations forms a ‘horizon’ of understanding, which is updated when expectations are frustrated.
Edmund Husserl|Non-intentional sensations (‘hyle’) and the perceptual (interpretive) sense can vary independently: one can change while the other remains the same.
Edmund Husserl|The lived body is the locus of directly felt sensations and is capable of self-movement, opening a rich range of practical possibilities (“I can”s).
Edmund Husserl|Intersubjective (empathic) experience occurs when we consciously attribute intentional acts to other subjects.
Edmund Husserl|In intersubjective experience, I must presuppose that the objects forming my own world exist independently of my subjective perspective.
Edmund Husserl|Intersubjectivity is crucial in our constitution of ourselves as objectively existing subjects, other subjects, and the objective world.
Edmund Husserl|The present must contain a ‘retention’ of the immediate past and a ‘protention’ of the immediate future, or else it would disappear into nothing.
Edmund Husserl|The foundations of logic can be clarified with the help of psychology.
Edmund Husserl|Laws of logic are a priori, they are justified by apodictic self-evidence, and valid rather than probable; they are not psychological.
Henri Bergson|Human beings should be explained from the perspective of evolution.
Henri Bergson|Life is like a current passing from germ to germ through the medium of an organism which is like an excrescence.
Henri Bergson|Our senses do not give us objective representations; they stimulate behavior for survival.
Henri Bergson|Evolution is directed by a drive (‘élan vital’) towards greater individuality and complexity.
Henri Bergson|Everything changes; the flow of time is fundamental to reality, to life.
Henri Bergson|We have direct intuitive experience of time, independent of conceptual thinking and sensual input.
Henri Bergson|We know we have free will because we have direct intuitive knowledge about our decisions to act.
Henri Bergson|Our intellect artificially breaks up time and space into manageable units to handle them – very useful for everyday life, business, and science.
Henri Bergson|The partitioning of the world does not show us reality; real time (‘duration’) and space are continuous and irreducible.
Henri Bergson|The present contains nothing more than the past; without the survival of the past into the present there would be no duration, but only instantaneity.
Henri Bergson|We live in two worlds: our inner experience of the continuum, and our intellect’s partitioning.
John Dewey|Knowledge is an adaptive human response to environing conditions, with practical instrumentality in the control of that interaction.
John Dewey|Hands and feet, apparatus and appliances are as much a part of thinking as changes in the brain: what matters is what they do, not what they are made of.
John Dewey|Scientific knowledge is the most reliable and useful type of knowledge.
John Dewey|‘Warranted assertibility’ is a better way of capturing the function of both knowledge and truth insofar as both are goals of inquiry.
John Dewey|There is no fundamental fact/value distinction; nature embraces all aspects of life, including values.
John Dewey|The worse or evil is a rejected good: in deliberation and before choice no evil presents itself as evil – until it is rejected, it is a competing good.
John Dewey|The problem-solving approach of the scientific method should be the pattern for all other types of enquiry.
John Dewey|The scientific method is a social activity because it requires criticism.
John Dewey|The education of children should be based on the problem-solving approach (‘learning by doing’).
John Dewey|A beautiful object is not art if there is no artist who made it; art is a product of a creative process involving intentional actions and desires.
John Dewey|Having an ‘experience’ is different from just being alive; an experience is a coherent and structured unit of features of our interactions with the world.
